source_file,sheet,row_index,trait,gene,snp,chr,pos,pvalue,score_raw,variety,evidence_text,candidate_gene,display_title,generic_label
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,5862,firmness,fruit texture parameters for harvest and postharvest,Md_Chr05_34134184,Chr05,34134184,7,7,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004933. Trait: fruit texture (category: firmness). Associated gene: MD05G1209900. GWAS marker: Md_Chr05_34134184. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 7. Genomic location: Chr05:34134184..34134184. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD05G1209900,MD05G1209900 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,7110,firmness,fruit texture parameters for harvest and postharvest,Md_Chr02_14217371,Chr02,14217371,6.8,6.8,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004925. Trait: fruit texture (category: firmness). Associated gene: MD02G1165600. GWAS marker: Md_Chr02_14217371. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 6.8. Genomic location: Chr02:14217371..14217371. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD02G1165600,MD02G1165600 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,31802,firmness,fruit texture parameters for harvest and postharvest,Md_Chr05_15280685,Chr05,15280685,6.1,6.1,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004932. Trait: fruit texture (category: firmness). Associated gene: MD05G1072500. GWAS marker: Md_Chr05_15280685. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 6.1. Genomic location: Chr05:15280685..15280685. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD05G1072500,MD05G1072500 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,35720,firmness,fruit texture parameters for harvest and postharvest,Md_Chr10_3022149,Chr10,3022149,6,6,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004949. Trait: fruit texture (category: firmness). Associated gene: MD10G1024200. GWAS marker: Md_Chr10_3022149. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 6. Genomic location: Chr10:3022149..3022149. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD10G1024200,MD10G1024200 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,15953,firmness,fruit texture parameters for harvest and postharvest,Md_Chr09_8533596,Chr09,8533596,5.9,5.9,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004944. Trait: fruit texture (category: firmness). Associated gene: MD09G1112100. GWAS marker: Md_Chr09_8533596. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 5.9. Genomic location: Chr09:8533596..8533596. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD09G1112100,MD09G1112100 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,55830,firmness,fruit texture parameters for harvest and postharvest,Md_Chr10_2975006,Chr10,2975006,5.9,5.9,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004948. Trait: fruit texture (category: firmness). Associated gene: MD10G1023800. GWAS marker: Md_Chr10_2975006. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 5.9. Genomic location: Chr10:2975006..2975006. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD10G1023800,MD10G1023800 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_mealiness_GWAS_Moriya_2017,9978,firmness,arcsine-transformed degree of mealiness (ADM),SNP_FB_0028781,Chr10,26828318,5.69,5.69,Apple_mealiness_GWAS_Moriya_82,"GDR GWAS: GWAS0004900. Trait: fruit mealiness (category: firmness). Associated gene: MD10G1176000. GWAS marker: SNP_FB_0028781. Published symbol: arcsine-transformed degree of mealiness (ADM). P-value: 5.69. Genomic location: Chr10:26828318..26828318. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_mealiness_GWAS_Moriya_82. Dataset: Apple_mealiness_GWAS_Moriya_2017. Citation: Moriya S, Kunihisa M, Okada K, Iwanami H, Iwata H, Minamikawa M, Katayose Y, Matsumoto T, Mori S, Sasaki H, Matsumoto T, Nishitani C, Terakami S, Yamamoto T, Abe K. Identification of QTLs for Flesh Mealiness in Apple (Malus × domestica Borkh.). The Horticulture Journal 2017 April 25; 86 (2): 159–170",MD10G1176000,MD10G1176000 (arcsine-transformed degree of mealiness (ADM)),0
GDR_rosaceae.org,Apple_mealiness_GWAS_Moriya_2017,14430,firmness,arcsine-transformed degree of mealiness (ADM),SNP_FB_0029595,Chr10,27254255,5.69,5.69,Apple_mealiness_GWAS_Moriya_82,"GDR GWAS: GWAS0004903. Trait: fruit mealiness (category: firmness). Associated gene: MD10G1178300. GWAS marker: SNP_FB_0029595. Published symbol: arcsine-transformed degree of mealiness (ADM). P-value: 5.69. Genomic location: Chr10:27254255..27254255. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_mealiness_GWAS_Moriya_82. Dataset: Apple_mealiness_GWAS_Moriya_2017. Citation: Moriya S, Kunihisa M, Okada K, Iwanami H, Iwata H, Minamikawa M, Katayose Y, Matsumoto T, Mori S, Sasaki H, Matsumoto T, Nishitani C, Terakami S, Yamamoto T, Abe K. Identification of QTLs for Flesh Mealiness in Apple (Malus × domestica Borkh.). The Horticulture Journal 2017 April 25; 86 (2): 159–170",MD10G1178300,MD10G1178300 (arcsine-transformed degree of mealiness (ADM)),0
GDR_rosaceae.org,Apple_mealiness_GWAS_Moriya_2017,32401,firmness,arcsine-transformed degree of mealiness (ADM),SNP_FB_0029596,Chr10,27254315,5.69,5.69,Apple_mealiness_GWAS_Moriya_82,"GDR GWAS: GWAS0004904. Trait: fruit mealiness (category: firmness). Associated gene: MD10G1178300. GWAS marker: SNP_FB_0029596. Published symbol: arcsine-transformed degree of mealiness (ADM). P-value: 5.69. Genomic location: Chr10:27254315..27254315. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_mealiness_GWAS_Moriya_82. Dataset: Apple_mealiness_GWAS_Moriya_2017. Citation: Moriya S, Kunihisa M, Okada K, Iwanami H, Iwata H, Minamikawa M, Katayose Y, Matsumoto T, Mori S, Sasaki H, Matsumoto T, Nishitani C, Terakami S, Yamamoto T, Abe K. Identification of QTLs for Flesh Mealiness in Apple (Malus × domestica Borkh.). The Horticulture Journal 2017 April 25; 86 (2): 159–170",MD10G1178300,MD10G1178300 (arcsine-transformed degree of mealiness (ADM)),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,43270,firmness,fruit texture parameters for harvest and postharvest,Md_Chr07_2252088,Chr07,2252088,5.5,5.5,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004937. Trait: fruit texture (category: firmness). Associated gene: MD07G1026800. GWAS marker: Md_Chr07_2252088. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 5.5. Genomic location: Chr07:2252088..2252088. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD07G1026800,MD07G1026800 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,21686,firmness,fruit texture parameters for harvest and postharvest,Md_Chr01_16968607,Chr01,16968607,5.4,5.4,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004923. Trait: fruit texture (category: firmness). Associated gene: MD01G1065800. GWAS marker: Md_Chr01_16968607. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 5.4. Genomic location: Chr01:16968607..16968607. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD01G1065800,MD01G1065800 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_mealiness_GWAS_Moriya_2017,12688,firmness,arcsine-transformed degree of mealiness (ADM),SNP_FB_0773778,Chr13,955449,4.96,4.96,Apple_mealiness_GWAS_Moriya_82,"GDR GWAS: GWAS0004892. Trait: fruit mealiness (category: firmness). Associated gene: MD09G1035200. GWAS marker: SNP_FB_0773778. Published symbol: arcsine-transformed degree of mealiness (ADM). P-value: 4.96. Genomic location: Chr13:955449..955449. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_mealiness_GWAS_Moriya_82. Dataset: Apple_mealiness_GWAS_Moriya_2017. Citation: Moriya S, Kunihisa M, Okada K, Iwanami H, Iwata H, Minamikawa M, Katayose Y, Matsumoto T, Mori S, Sasaki H, Matsumoto T, Nishitani C, Terakami S, Yamamoto T, Abe K. Identification of QTLs for Flesh Mealiness in Apple (Malus × domestica Borkh.). The Horticulture Journal 2017 April 25; 86 (2): 159–170",MD09G1035200,MD09G1035200 (arcsine-transformed degree of mealiness (ADM)),0
GDR_rosaceae.org,Apple_mealiness_GWAS_Moriya_2017,14439,firmness,arcsine-transformed degree of mealiness (ADM),SNP_FB_0773778,Chr09,2151389,4.96,4.96,Apple_mealiness_GWAS_Moriya_82,"GDR GWAS: GWAS0004892. Trait: fruit mealiness (category: firmness). Associated gene: MD09G1035200. GWAS marker: SNP_FB_0773778. Published symbol: arcsine-transformed degree of mealiness (ADM). P-value: 4.96. Genomic location: Chr09:2151389..2151389. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_mealiness_GWAS_Moriya_82. Dataset: Apple_mealiness_GWAS_Moriya_2017. Citation: Moriya S, Kunihisa M, Okada K, Iwanami H, Iwata H, Minamikawa M, Katayose Y, Matsumoto T, Mori S, Sasaki H, Matsumoto T, Nishitani C, Terakami S, Yamamoto T, Abe K. Identification of QTLs for Flesh Mealiness in Apple (Malus × domestica Borkh.). The Horticulture Journal 2017 April 25; 86 (2): 159–170",MD09G1035200,MD09G1035200 (arcsine-transformed degree of mealiness (ADM)),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,39351,firmness,fruit texture parameters for harvest and postharvest,Md_Chr02_27962430,Chr02,27962430,4.8333333333333,4.8333333333333,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004927. Trait: fruit texture (category: firmness). Associated gene: MD02G1233300. GWAS marker: Md_Chr02_27962430. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 4.8333333333333. Genomic location: Chr02:27962430..27962430. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD02G1233300,MD02G1233300 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_mealiness_GWAS_Moriya_2017,51829,firmness,arcsine-transformed degree of mealiness (ADM),RosBREEDSNP_SNP_TG_20833228_Lg10_PG_MAF50_184244_exon1,Chr10,27277061,4.62,4.62,Apple_mealiness_GWAS_Moriya_82,"GDR GWAS: GWAS0004910. Trait: fruit mealiness (category: firmness). Associated gene: MD10G1179000. GWAS marker: RosBREEDSNP_SNP_TG_20833228_Lg10_PG_MAF50_184244_exon1. Published symbol: arcsine-transformed degree of mealiness (ADM). P-value: 4.62. Genomic location: Chr10:27277061..27277061. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_mealiness_GWAS_Moriya_82. Dataset: Apple_mealiness_GWAS_Moriya_2017. Citation: Moriya S, Kunihisa M, Okada K, Iwanami H, Iwata H, Minamikawa M, Katayose Y, Matsumoto T, Mori S, Sasaki H, Matsumoto T, Nishitani C, Terakami S, Yamamoto T, Abe K. Identification of QTLs for Flesh Mealiness in Apple (Malus × domestica Borkh.). The Horticulture Journal 2017 April 25; 86 (2): 159–170",MD10G1179000,MD10G1179000 (arcsine-transformed degree of mealiness (ADM)),0
GDR_rosaceae.org,Apple_mealiness_GWAS_Moriya_2017,57358,firmness,arcsine-transformed degree of mealiness (ADM),RosBREEDSNP_SNP_TG_20833228_Lg10_PG_MAF50_184244_exon1,,,4.62,4.62,Apple_mealiness_GWAS_Moriya_82,"GDR GWAS: GWAS0004910. Trait: fruit mealiness (category: firmness). Associated gene: MD10G1179000. GWAS marker: RosBREEDSNP_SNP_TG_20833228_Lg10_PG_MAF50_184244_exon1. Published symbol: arcsine-transformed degree of mealiness (ADM). P-value: 4.62. Genomic location: MDC015606.185:3006..3006. Reference genome: Malus x domestica Whole Genome v1.0 Assembly & Annotation. Population/GWAS panel: Apple_mealiness_GWAS_Moriya_82. Dataset: Apple_mealiness_GWAS_Moriya_2017. Citation: Moriya S, Kunihisa M, Okada K, Iwanami H, Iwata H, Minamikawa M, Katayose Y, Matsumoto T, Mori S, Sasaki H, Matsumoto T, Nishitani C, Terakami S, Yamamoto T, Abe K. Identification of QTLs for Flesh Mealiness in Apple (Malus × domestica Borkh.). The Horticulture Journal 2017 April 25; 86 (2): 159–170",MD10G1179000,MD10G1179000 (arcsine-transformed degree of mealiness (ADM)),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,59755,firmness,fruit texture parameters for harvest and postharvest,Md_Chr07_4128654,Chr07,4128654,4.6,4.6,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004939. Trait: fruit texture (category: firmness). Associated gene: MD07G1048200. GWAS marker: Md_Chr07_4128654. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 4.6. Genomic location: Chr07:4128654..4128654. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD07G1048200,MD07G1048200 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,65003,firmness,fruit texture parameters for harvest and postharvest,Md_Chr04_8375115,Chr04,8375115,4.6,4.6,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004930. Trait: fruit texture (category: firmness). Associated gene: MD04G1063300. GWAS marker: Md_Chr04_8375115. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 4.6. Genomic location: Chr04:8375115..8375115. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD04G1063300,MD04G1063300 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,40518,firmness,fruit texture parameters for harvest and postharvest,Md_Chr07_7576595,Chr07,7576595,4.5,4.5,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004940. Trait: fruit texture (category: firmness). Associated gene: MD07G1078500. GWAS marker: Md_Chr07_7576595. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 4.5. Genomic location: Chr07:7576595..7576595. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD07G1078500,MD07G1078500 (fruit texture parameters for harvest and postharvest),0
GDR_rosaceae.org,Apple_storability_GWAS_Gilpin_2025,42265,firmness,fruit texture parameters for harvest and postharvest,Md_Chr05_35333583,Chr05,35333583,4.5,4.5,Apple_storability_GWAS_Gilpin_197,GDR GWAS: GWAS0004934. Trait: fruit texture (category: firmness). Associated gene: MD05G1220600. GWAS marker: Md_Chr05_35333583. Published symbol: fruit texture parameters for harvest and postharvest. P-value: 4.5. Genomic location: Chr05:35333583..35333583. Reference genome: Malus x domestica GDDH13 v1.1 Whole Genome Assembly & Annotation. Population/GWAS panel: Apple_storability_GWAS_Gilpin_197. Dataset: Apple_storability_GWAS_Gilpin_2025. Citation: https://doi.org/10.1016/j.postharvbio.2024.113276,MD05G1220600,MD05G1220600 (fruit texture parameters for harvest and postharvest),0
